Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-02-04;42171501914.0;ZTE do Brasil Ltda.;5216804000146;CPQD 4844;05/01/2016;05/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;ZTE Corporation;ZXHN F601;;1;ONT - Terminação de Rede Ótica;N;S;China;CHN;CHN
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGD9PW5BNI;APX5000 VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGF9PW6BNI;APX5000 VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGH9PW7BNI;APX5000 VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGD9PW5BN;APX6000XE VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGF9PW6BN;APX6000XE VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGH9PW7BN;APX6000XE VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H99KGD9PW5BN;SRX2200 VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H99KGH9PW7BN;SRX2200 VHF;3;Transceptor Portátil;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGD9PW5BNI;APX5000 VHF;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGF9PW6BNI;APX5000 VHF;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGH9PW7BNI;APX5000 VHF;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGD9PW5BN;APX6000XE VHF;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-02-17;22561601699.0;MOTOROLA SOLUTIONS LTDA;10652730000120;NCC 14110/16;04/01/2017;04/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Solutions, Inc.;H98KGF9PW6BN;APX6000XE VHF;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
