Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-01-27;43721303428.0;CommScope Cabos do Brasil Ltda.;3759340000601;NCC 10511/14;13/02/2014;13/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Commscope;SHPX1-38;SHPX1-38;3;Antena Ponto a Ponto;S;S;República Checa;CZE;CZE
2025-01-27;43721303428.0;CommScope Cabos do Brasil Ltda.;3759340000601;NCC 10511/14;13/02/2014;13/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Commscope;SHPX2-38;SHPX2-38;3;Antena Ponto a Ponto;S;S;República Checa;CZE;CZE
2025-01-27;40441406246.0;PANDUIT DO BRASIL;2445230000190;UL-BR 15.0112;19/02/2015;18/02/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;PANDUIT DO BRASIL;Cabo U/UTP Panduit Cat 6 condutor flexivel LSZH;;1;Cabo para Transmissão de Dados;N;S;Brasil;BRA;BRA
2025-01-17;38781303428.0;CommScope Cabos do Brasil Ltda.;3759340000601;NCC 10476/14;30/01/2014;30/01/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Commscope;SHP3-11W;SHP3-11W;3;Antena Ponto a Ponto;S;S;República Checa;CZE;CZE
2025-01-17;38761303428.0;CommScope Cabos do Brasil Ltda.;3759340000601;NCC 10475/14;30/01/2014;30/01/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Commscope;SHPX3-11W;SHPX3-11W;3;Antena Ponto a Ponto;S;S;República Checa;CZE;CZE
2025-01-27;4071106246.0;PANDUIT DO BRASIL;2445230000190;UL-BR 15.0170;16/03/2015;15/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;PANDUIT DO BRASIL;Cabo de manobra cat 6 U/UTP 4 pares cond. flexível;Cabo de manobra cat 6 U/UTP 4 pares cond. flexível;1;Cabo de Manobra;N;S;Brasil;BRA;BRA
2025-01-27;20890804817.0;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;5346837000100;08CTCP0028/00;04/12/2008;04/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;RMSS 900 V2;;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
2025-01-27;20890804817.0;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;5346837000100;08CTCP0028/00;04/12/2008;04/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;UTR Conn-FLEX;;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
2025-01-27;20890804817.0;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;5346837000100;08CTCP0028/00;04/12/2008;04/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;Telecomando MICRON;;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
2025-01-27;20890804817.0;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;5346837000100;08CTCP0028/00;04/12/2008;04/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;INFINIUM AUTOMACAO INDUSTRIAL LTDA. - ME;Telecomando INNET;;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
