Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-03-10;14581402703.0;Rosenberger Domex Telecomunicações Ltda.;54821137000136;CPQD 4214;21/01/2015;21/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Rosenberger Domex Telecomunicações Ltda.;MTP-APC SM;MTP-APC SM;3;Conector de Fibra Óptica;N;S;Brasil;BRA;BRA
2025-03-10;14581402703.0;Rosenberger Domex Telecomunicações Ltda.;54821137000136;CPQD 4214;21/01/2015;21/01/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Rosenberger Domex Telecomunicações Ltda.;MTP-PC-MM;MTP-PC-MM;3;Conector de Fibra Óptica;N;S;Brasil;BRA;BRA
2025-03-07;5231100905.0;Lutron BZ do Brasil Ltda;4333561000163;MT-0979/2011;08/02/2011;08/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;LUTRON ELECTRONICS CO., INC.;RR-AUX-REP-WH;;2;Dispositivo de Operação Periódica;N;S;Estados Unidos da América;USA;USA
2025-03-07;5231100905.0;Lutron BZ do Brasil Ltda;4333561000163;MT-0979/2011;08/02/2011;08/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;LUTRON ELECTRONICS CO., INC.;HQR-REP-120;;2;Dispositivo de Operação Periódica;N;S;Estados Unidos da América;USA;USA
2025-03-10;9661609587.0;ICOM DO BRASIL RADIOCOMUNICACAO LTDA.;15554813000109;NCC 13099/16;08/03/2016;08/03/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Icom Inc.;IC-FR9010;IC-FR9010;3;Repetidor de Radiofrequências;N;S;Maurício;MAU;MUS
2025-03-07;5231100905.0;Lutron BZ do Brasil Ltda;4333561000163;MT-0979/2011;08/02/2011;08/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;LUTRON ELECTRONICS CO., INC.;RR-AUX-REP-WHBA;RadioRA2;2;Dispositivo de Operação Periódica;N;S;Estados Unidos da América;USA;USA
2025-03-07;5231100905.0;Lutron BZ do Brasil Ltda;4333561000163;MT-0979/2011;08/02/2011;08/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;LUTRON ELECTRONICS CO., INC.;HQR-REP-BA;Homeworks QS;2;Dispositivo de Operação Periódica;N;S;Estados Unidos da América;USA;USA
2025-03-07;53751801802.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;MT-4374/2018;21/08/2018;21/08/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hon Hai Precision Ind. Co., Ltd.;T77W968;;1;Estação Terminal de Acesso;N;S;Taiwan;TWN;TWN
2025-03-10;71831907435.0;NAVEGA ENGENHARIA DE SISTEMAS EIRELI;22101932000163;NCC 17546/19;30/09/2019;30/09/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Damm Cellular Systems A/S.;BS422 Outdoor 380-390/390-400MHz;BS422;3;Transceptor Troncalizado - Base;N;S;Dinamarca;DNK;DNK
2025-03-07;53751801802.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;MT-4374/2018;21/08/2018;21/08/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hon Hai Precision Ind. Co., Ltd.;T77W968C9;;1;Estação Terminal de Acesso;N;S;Taiwan;TWN;TWN
2025-03-06;123132005768.0;CARESTREAM DO BRASIL COM E SERV DE PROD MED LTDA;8546929000122;Versys 2672;19/08/2020;19/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Carestream Health Inc.;Focus 43C;;2;Transceptor de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-03-06;170222003229.0;Logitech do Brasil Com de Acessórios de Info Ltda.;8573862000115;CPQD 7990;24/03/2021;24/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Logitech Europe S.A;RR0016;REMOTE CONTROL;2;Transceptor de Radiação Restrita;N;S;Suíça;SUI;CHE
2025-03-10;47252111538.0;H-TECH COMERCIO IMPORTACAO E EXPORTACAO LTDA;4702671000155;NCC 19386/21;29/03/2021;29/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Flysonic Electronics Co., Ltd;MT6625L;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-08;180572002217.0;SAMSUNG ELETRONICA DA AMAZONIA LTDA;280273000137;NCC 22999/22;01/02/2022;31/03/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Samsung Electronics Co Ltd.;WCA943M;;2;Transceptor de Radiação Restrita;N;S;Coréia;KOR;KOR
2025-03-08;180572002217.0;SAMSUNG ELETRONICA DA AMAZONIA LTDA;280273000137;NCC 22999/22;01/02/2022;31/03/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Samsung Electronics Co Ltd.;WCB941M;;2;Transceptor de Radiação Restrita;N;S;Coréia;KOR;KOR
